"ErrorCode";"Remediation";"Message"
"500014";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The service principal for resource '{identifier}' is disabled. This indicate that a subscription within the tenant has lapsed, or that the administrator for this tenant has disabled the application, preventing tokens from being issued for it."
"500021";"Please contact your IT department.";"Access to '{tenant}' tenant is denied."
"500022";"Please contact your IT department.";"Access to '{tenant}' tenant is denied."
"50003";"Check the resolutions outlined at https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-integration/troubleshoot-sign-in-saml-based-apps#certificate-or-key-not-configured. If you still see issues, contact the app owner or an app admin.";"Certificate roll is in progress. Please retry the operation later."
"50005";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User tried to log in to a device from a platform ({platform}) that's currently not supported through Conditional Access policy. Supported device platforms are: iOS, Android, Mac, and Windows flavors."
"50006";"Check out the resolution outlined at https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-integration/troubleshoot-sign-in-saml-based-apps. If the issue persists, contact the application owner or application administrator.";"Signature verification failed because of an invalid signature."
"50007";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Encryption certificate was not found in the directory."
"50008";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"The SAML token is invalid."
"5000224";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"We are sorry, this resource is not available. If you are seeing this message by mistake, please contact Microsoft support."
"5000819";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"SAML Assertion is invalid. Email address claim is missing or does not match domain from an external realm."
"50010";"Contact the application owner for resolution.";"Audience URI validation failed since no token audiences were configured."
"50011";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"The {redirectTerm} '{replyAddress}' specified in the request does not match the {redirectTerm}s configured for the application '{identifier}'. Make sure the {redirectTerm} sent in the request matches one added to your application in the Azure portal. Navigate to {akamsLink} to learn more about how to fix this. {detail}"
"50012";"Ensure that the request is sent with the correct credentials and claims.";"Authentication failed."
"50013";"Application error. Contact the app developer and ask them to debug this issue.";"Assertion failed signature validation. Possibly because the token issuer doesn't match the API version within its valid time range, it's expired or malformed, or the refresh token in the assertion is not a primary refresh token."
"500133";"Assertion is invalid because of various reasons:<br>      - The token issuer doesn't match the api version within its valid time range<br>      - Expired<br>      - Malformed<br>      - Refresh token in the assertion is not a primary refresh token";"Assertion is not within its valid time range. Ensure that the access token is not expired before using it for user assertion, or request a new token. Current time: {curTime}, expiry time of assertion {expTime}."
"50014";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The user's redemption is in a pending state. The guest user account is not fully created yet."
"50015";"This user was asked to provide their age due to legal requirements.";"The user requires legal age group consent."
"50017";"Contact the tenant admin. Possible reasons for this error include: cannot find issuing certificate in trusted certificates list, unable to find expected CrlSegment, cannot find issuing certificate in trusted certificates list, delta CRL distribution point is configured without a corresponding CRL distribution point, unable to retrieve valid CRL segments because of a timeout issue, or unable to download CRL.";"Validation of given certificate for certificate based authentication failed."
"50020";"https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-integration/error-code-AADSTS50020-user-account-identity-provider-does-not-exist";"User account '{email}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account."
"500208";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The domain is not a valid login domain for the account type."
"500212";"The user's administrator must update their cross-tenant access policy to allow access to the resource tenant.";"The user's administrator has set an outbound access policy that does not allow access to the resource tenant."
"500213";"This block occurred due to the resource tenant's cross-tenant access policy. Contact that tenant's administrator to ensure that these users are allowed access.";"The resource tenant's cross-tenant access policy does not allow this user to access this tenant."
"50027";"Contact the application owner to fix the JWT their app is creating for authentication. This can occur for a variety of reasons: doesn't contain nonce claim or sub claim, subject identifier mismatch, duplicate claim in idToken claims, unexpected issuer, unexpected audience, not within its valid time range, or a token format issue.";"JWT token is invalid or malformed."
"50029";"Contact the developer to update their app and app registration to use a different URI.";"The reply URI specified in the request contains invalid characters. Domain names of this form are not supported."
"50032";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"RSA key size {actualSize} is less than the minimum required {minSize} bits."
"50033";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"A transient error has occurred. Please try again."
"50034";"The user that attempted to sign in doesn't exist in this tenant. This can occur because the user mis-typed their username, or isn't in the tenant. An application may have chosen the wrong tenant to sign into, and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in, add them as a guest. See docs here: https://learn.microsoft.com/entra/external-id/add-users-administrator";"The user account {identifier} does not exist in the {tenant} directory. To sign into this application, the account must be added to the directory."
"50042";"If this application has been recently registered, please wait for some time for the configuration to take effect, and then try again.";"The salt required to generate a pairwise identifier is missing in the principal."
"50043";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Unable to generate a pairwise identifier with more than one salt in principal."
"50048";"Contact the developer to ensure that the JWT they generated for authentication has correct sub and iss claims. https://learn.microsoft.com/entra/identity-platform/certificate-credentials";"Subject must match the issuer claim in the client assertion."
"50049";"Application error - the login request was malformed and could not be matched with an existing authentication endpoint or instance.";"Unknown or invalid instance."
"50050";"Contact the application owner.";"The request is malformed: invalid format for '{name}' value."
"50053";"This error can be returned for two reasons - the sign in could have come from a malicious IP address, or the account was locked due to repeated sign-in attempts. Only one error code is used to prevent an attacker from distinguishing between the states. In your Azure AD tenant, you can distinguish between these states by looking at the specific sign-in log entry for this request. For accounts locked for too many attempts, see https://learn.microsoft.com/entra/id-protection/howto-identity-protection-remediate-unblock";"The account is locked, you've tried to sign in too many times with an incorrect user ID or password."
"50055";"The user's password is expired, and therefore their login or session was ended. They will be offered the opportunity to reset it, or may ask an admin to reset it via https://learn.microsoft.com/entra/fundamentals/users-reset-password-azure-portal";"The password is expired."
"50056";"The user should be asked to enter their password again.";"Invalid or missing password: password does not exist in the directory for this user."
"50057";"https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-integration/error-code-aadsts50057-user-account-is-disabled";"The user account is disabled."
"50058";"This means that a user is not signed in. This is a common error that's expected when a user is unauthenticated and has not yet signed in. If this error is encountered in an SSO context where the user has previously signed in, this means that the SSO session was either not found or invalid. This error may be returned to the application if prompt=none is specified.";"Session information is not sufficient for single-sign-on."
"50059";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"No tenant-identifying information found in either the request or implied by any provided credentials."
"50061";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Unable to complete signout. The request was invalid."
"50064";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Access has been blocked by Conditional Access policies. The access policy does not allow token issuance."
"50068";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Signout failed. The initiating application is not a participant in the current session."
"50070";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Signout failed. The request specified session indexes '{identifier}' which did not match the existing session(s)."
"50071";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Signout request has expired."
"50072";"The user was presented options to provide contact options so that they can do MFA.";"Due to a configuration change made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'."
"50074";"User needs to perform multi-factor authentication. There could be multiple things requiring multi-factor, e.g. Conditional Access policies, per-user enforcement, requested by client, among others.";"Strong Authentication is required."
"50076";"User needs to perform multi-factor authentication. There could be multiple things requiring multi-factor, e.g. Conditional Access policies, per-user enforcement, requested by client, among others.";"Due to a configuration change made by your administrator, or because you moved to a new location, you must use multi-factor authentication to access '{resource}'."
"50078";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Presented multi-factor authentication has expired due to policies configured by your administrator, you must refresh your multi-factor authentication to access '{resource}'."
"50079";"Either a managed user needs to register security info to complete multi-factor authentication, or a federated user needs to get the multi-factor claim from the federated identity provider. There could be multiple things requiring multi-factor, e.g. Conditional Access policies, per-user enforcement, requested by client, among others.";"Due to a configuration change made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'."
"50085";"The user is being redirected to another IDP for reauthentication.";"Refresh token needs a social identity provider login."
"50086";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Access has been blocked by Conditional Access policies. The access policy does not allow token issuance."
"50087";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"A transient error has occurred during strong authentication. Please try again."
"50088";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Limit on telecom MFA calls reached. Please try again in a few minutes."
"50089";"Expected - auth codes, refresh tokens, and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user.";"Authentication failed due to flow token expired."
"50097";"This is not an error - this is an interrupt that triggers device authentication when required due to a Conditional Access policy or because the application or resource requested the device ID in a token. This code alone does not indicate a failure on your users part to sign in. The sign in logs may indicate that the device authentication challenge was passed succesfully or failed.";"Device authentication is required."
"50099";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid nonce."
"50105";"Assign the user to the app. See https://learn.microsoft.com/entra/identity/enterprise-apps/assign-user-or-group-access-portal and https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-integration/troubleshoot-sign-in-saml-based-apps#user-not-assigned-a-role";"Your administrator has configured the application {appName} ('{appId}') to block users unless they are specifically granted ('assigned') access to the application.  The signed in user '{user}' is blocked because they are not a direct member of a group with access, nor had access directly assigned by an administrator. Please contact your administrator to assign access to this application."
"50107";"Application error - the login request was malformed and could not be matched with an existing authentication endpoint or instance.";"The requested federation realm object '{name}' does not exist."
"50120";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Unknown credential type, issue with the JWT header."
"50124";"Contact your tenant admin to fix the claims mapping configuration. See https://learn.microsoft.com/entra/identity-platform/saml-claims-customization";"Invalid regular expression configured for claims transformation for this application."
"501241";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Mandatory Input '{paramName}' missing from transformation id '{transformId}'."
"50125";"User authentication was blocked because they need to provide password reset information. Their next interactive sign in will ask them for this, which the app should trigger next.";"Sign-in was interrupted due to a password reset or password registration entry."
"50126";"The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.";"Error validating credentials due to invalid username or password."
"50127";"The user needs to install the broker app and work place join using the broker app in order to register the device.";"Client app is a MAM app and device is not registered."
"50128";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"No tenant-identifying information found in either the request or implied by any provided credentials."
"50129";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The device is not workplace joined. Workplace join is required to register the device."
"50131";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Device is not in required device state: {state}. Or, the request was blocked due to suspicious activity, access policy, or security policy decisions."
"50132";"Expected - auth codes, refresh tokens, and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user.";"The session is not valid due the following reasons: password expiration or recent password change, SSO Artifact is invalid or expired, session is not fresh enough for application, or a silent sign-in request was sent but the user's session with Azure AD is invalid or has expired."
"50133";"Expected - auth codes, refresh tokens, and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user.";"The session is not valid due to password expiration or recent password change."
"50134";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Wrong data center. To authorize a request that was initiated by an app in the OAuth 2.0 device flow, the authorizing party must be in the same data center where the original request resides."
"50135";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Password change is required due to account risk."
"50136";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Single MSA session detected when requesting an MSA ticket."
"50139";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Session is invalid due to missing an external refresh token."
"50140";"This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267";"This occurred due to 'Keep me signed in' interrupt when the user was signing in."
"50143";"The app attempted to sign in a user to the wrong tenant. They need to correctly track the tenant that they have signed the user into.";"Session mismatch. The session is invalid because user tenant does not match the domain hint."
"50144";"Generate a new password for the user or have the user use the self-service reset tool to reset their password.";"The user's Active Directory password has expired."
"50146";"Please contact the owner of the application.";"This application is required to be configured with an application-specific signing key. It is either not configured with one, or the key has expired or is not yet valid."
"501461";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"AcceptMappedClaims is only supported for a token audience matching the application GUID or an audience within the tenant's verified domains. Either change the resource identifier, or use an application-specific signing key."
"50147";"Contact the application owner to correct their use of the PKCE parameters.";"Invalid size of the code challenge parameter."
"501481";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The Code_Verifier does not match the code_challenge supplied in the authorization request."
"501491";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid size of Code_Challenge parameter."
"50155";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Device authentication failed."
"50158";"The user is required to satisfy additional requirements before finishing authentication, and was redirected to another page (such as terms of use or a third party MFA provider). This code alone does not indicate a failure on your users part to sign in. The sign in logs may indicate that this challenge was succesfully passed or failed.";"External security challenge not satisfied. User will be redirected to another page or authentication provider to satisfy additional authentication challenges."
"50161";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Failed to validate authorization url of external claims provider."
"50166";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Request to External OIDC endpoint failed."
"50168";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The client is capable of utilizing the Windows 10 Accounts extension to perform SSO but no SSO token was found in the request or the token was expired. Request has been interrupted to attempt to pull an SSO token."
"50169";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The realm '{realm}' is not a configured realm of the current service namespace."
"50170";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The external controls mapping is missing."
"50173";"Expected part of the token lifecycle - either an admin or a user revoked the tokens for this user, causing subsequent token refreshes to fail and require re-authentication. Have the user sign-in again.";"The provided grant has expired due to it being revoked, a fresh auth token is needed. The user might have changed or reset their password. The grant was issued on '{authTime}' and the TokensValidFrom date (before which tokens are not valid) for this user is '{validDate}'."
"50177";"The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account.";"User account '{user}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account."
"50178";"The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account.";"User account '{user}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account."
"50180";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Integrated Windows Authentication is needed. Enable the tenant '{name}' for Seamless SSO."
"50187";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Failed to perform device authentication."
"50192";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid request."
"50194";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application '{appId}'({appName}) is not configured as a multi-tenant application. Usage of the /common endpoint is not supported for such applications created after '{time}'. Use a tenant-specific endpoint or configure the application to be multi-tenant."
"50196";"Application error - the app is requesting too many tokens, indicating that it is not correctly coded. Ensure that the app is correctly caching refresh and access tokens to preserve bandwidth and reduce latency.";"The server terminated an operation because it encountered a client request loop. Please contact your app vendor."
"50197";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Sorry, we could not find the user, please sign-in again."
"50199";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"For security reasons, user confirmation is required for this request. Please repeat the request allowing user interaction."
"51000";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"{feature} is/are disabled."
"51001";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Domain Hint must be present with On-Premises Security Identifier/ On-Premises UPN."
"1000104";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Resource cloud {resourceCloud} is not allowed on identity tenant {identityTenant}."
"51004";"An application likely chose the wrong tenant to sign into, and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in, add them as a guest. See docs here: https://learn.microsoft.com/entra/external-id/add-users-administrator";"The user account {identifier} does not exist in the {tenant} directory. To sign into this application, the account must be added to the directory."
"51005";"This is not an error scenario, but is handled like one by Azure AD to handle certain authentication flows.  This is not an indication that anything went wrong.";"Initiate gateway redirect."
"51006";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Integrated Windows Authentication is needed. The user signed in using session token that is missing wia claim. Prompt the user to sign in again."
"52004";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The user or administrator has not consented to use the application with ID '{identifier}'{namePhrase}. Send an interactive authorization request for this user and resource."
"53000";"Your administrator might have configured a conditional access policy that allows access to your organization's resources only from compliant devices. To be compliant, your device must be either joined to your on-premises Active Directory or joined to your Azure Active Directory.            More details available at https://support.microsoft.com/account-billing/troubleshooting-compliance-error-messages-for-a-work-or-school-account-479a9c42-d9d1-4e44-9e90-24bbad96c251";"Device is not in required device state: {state}. Conditional Access policy requires a compliant device, and the device is not compliant. The user must enroll their device with an approved MDM provider like Intune."
"53001";"Have the user use a domain joined device.";"Device is not in required device state: {state}. Conditional Access policy requires a domain joined device, and the device is not domain joined."
"53002";"User needs to use one of the apps from the list of approved apps to use in order to get access.";"Device is not in required device state: {state}. The app used is not an approved app for Conditional Access."
"53003";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Access has been blocked by Conditional Access policies. The access policy does not allow token issuance."
"530035";"If this is unexpected, see security defaults that applied to this request in the Azure Portal.";"Access has been blocked by security defaults."
"53004";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Cannot configure multi-factor authentication methods due to suspicious activity."
"53010";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Cannot configure multi-factor authentication methods because the organization requires this information to be set from specific locations or devices."
"53011";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User blocked due to risk on home tenant."
"530034";"Azure AD blocked delegated administrator access due to account risk in their home tenant.";"A delegated administrator was blocked from accessing the tenant due to account risk."
"54000";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User is not allowed to access application {appName} due to Legal Age Group Requirement of application {audience}."
"54005";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"OAuth2 Authorization code was already redeemed, please retry with a new valid code or use an existing refresh token."
"65001";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The user or administrator has not consented to use the application with ID '{identifier}'{namePhrase}. Send an interactive authorization request for this user and resource."
"65002";"A developer in your tenant may be attempting to reuse an App ID owned by Microsoft. This error prevents them from impersonating a Microsoft application to call other APIs. They must move to another app ID they register in portal.azure.com.";"Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization - applications owned and operated by Microsoft must get approval from the API owner before requesting tokens for that API."
"65004";"Have the user retry the sign-in and consent to the app.";"User declined to consent to access the app."
"65005";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The application '{name}' asked for scope '{scope}' that doesn't exist."
"650052";"Contact your IT Admin to review the configuration of your service subscriptions.";"The app is trying to access a service '{appId}'({appName}) that your organization '{organization}' lacks a service principal for. Contact your IT Admin to review the configuration of your service subscriptions or consent to the application in order to create the required service principal."
"650054";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The application '{name}' asked for permissions to access a resource that has been removed or is no longer available. Contact the app vendor."
"650056";"Please contact your admin to fix the configuration or consent on behalf of the tenant.";"Misconfigured application. This could be due to one of the following: the client has not listed any permissions for '{name}' in the requested permissions in the client's application registration. Or, the admin has not consented in the tenant. Or, check the application identifier in the request to ensure it matches the configured client application identifier. Or, check the certificate in the request to ensure it's valid. Please contact your admin to fix the configuration or consent on behalf of the tenant. Client app ID: {id}."
"650057";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid resource. The client has requested access to a resource which is not listed in the requested permissions in the client's application registration. Client app ID: {appId}({appName}). Resource value from request: {resource}. Resource app ID: {resourceAppId}. List of valid resources from app registration: {regList}."
"67003";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The client '{appId}'({appName}) is not a valid service identity."
"70000";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"Provided grant is invalid or malformed."
"70001";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application identifier is not provided."
"700011";"A client application requested a token from your tenant, but the client app doesn't exist in your tenant, so the call failed.";"Application with identifier {appIdentifier} was not found in the directory."
"70002";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"Client application name '{appName}' is not valid or the credentials used to authenticate the client could not be understood by the server."
"700025";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Client is public so neither 'client_assertion' nor 'client_secret' should be presented."
"700027";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"Client assertion failed signature validation."
"70003";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The app requested an unsupported grant type '{type}'."
"700030";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid certificate - subject name in certificate is not authorized. SubjectNames/SubjectAlternativeNames (up to 10) in token certificate are: {certificateSubjects}."
"70004";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The app requested an invalid redirect URI '{uri}'. The redirect address specified by the client does not match any configured addresses."
"70005";"Contact the application owner.";"'The application requested an unsupported response type '{type}' when requesting a token."
"700054";"The application requested an unsupported response type due to the following reasons: response_type 'id_token' is not enabled for the application. Application owner should go to the Azure portal or call MS Graph to enable the implicit id token grant.";"response_type 'id_token' is not enabled for the application."
"70007";"Contact the application owner.";"The application requested an unsupported mode '{mode}' when requesting a token."
"70008";"Expected - auth codes, refresh tokens, and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user.";"The provided authorization code or refresh token has expired due to inactivity. Send a new interactive authorization request for this user and resource."
"700082";"Expected part of the token lifecycle - the user went an extended period of time without using the application, so the token was expired when the app attempted to refresh it.";"The refresh token has expired due to inactivity. The token was issued on {issueDate} and was inactive for {time}."
"700084";"Single page apps receive fixed, shorter-lived refresh tokens, and are expected to encounter this error on a regular basis. Apps must handle this error by redirecting the user to the sign in page for a refreshed sign in session.";"The refresh token was issued to a single page app (SPA), and therefore has a fixed, limited lifetime of {time}, which cannot be extended. It is now expired and a new sign in request must be sent by the SPA to the sign in page. The token was issued on {issueDate}."
"70011";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The provided request must include a 'scope' input parameter. The provided value for the input parameter 'scope' is not valid. The scope {scope} is not valid.{detailsPhrase}"
"70012";"Try again. If it continues to fail, open a support ticket: https://learn.microsoft.com/entra/fundamentals/how-to-get-support";"A server error occurred while authenticating an MSA (consumer) user."
"70016";"This is not an error scenario, but is handled like one by Azure AD to handle certain authentication flows.  This is not an indication that anything went wrong.";"OAuth 2.0 device flow error. Authorization is pending. Continue polling."
"70018";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid verification code."
"70019";"Verification code expired. Have the user retry the sign-in";"Verification code expired."
"70043";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The refresh token has expired or is invalid due to sign-in frequency checks by conditional access. The token was issued on {issueDate} and the maximum allowed lifetime for this request is {time}."
"75001";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"An exception occurred while parsing a SAML binding message."
"75003";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Access has been blocked by Conditional Access policies. The access policy does not allow token issuance."
"75005";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The request is not a valid SAML 2.0 protocol message or contains invalid or potentially dangerous characters."
"7500514";"Application error - the developer will handle this error.";"A supported type of SAML response was not found. The supported response types are 'Response' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:protocol') or 'Assertion' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:assertion')."
"750054";"Azure AD wasn't able to identify the SAML request within the URL parameters in the HTTP request. This can happen if the application is not using HTTP Redirect Binding for sending the SAML request to Azure AD.<br><br>        The application needs to send the SAML request encoded into the location header using HTTP Redirect Binding. For more information about how to implement it, read the section HTTP Redirect Binding in the SAML protocol specification document.[https://docs.oasis-open.org/security/saml/v2.0/saml-bindings-2.0-os.pdf]";"SAMLRequest or SAMLResponse must be present as query string parameters in HTTP request for SAML Redirect binding."
