Port,Protocol,Service,Category,Risk,Description
129,TCP,Password-Generator-Protocol,C2,High,Password Generator Protocol
130,TCP,cisco-FNATIVE,Infrastructure,Low,cisco FNATIVE
131,TCP,cisco-TNATIVE,Infrastructure,Low,cisco TNATIVE
132,TCP,cisco-SYSMAINT,Infrastructure,Low,cisco SYSMAINT
133,TCP,Statistics-Service,Infrastructure,Low,Statistics Service
134,TCP,INGRES-NET-Service,Infrastructure,Low,INGRES-NET Service
135,TCP,RPC,Windows,High,Remote procedure call
136,TCP,PROFILE-Naming-System,Infrastructure,Low,PROFILE Naming System
137,TCP / UDP,NetBIOS-NS,Windows,High,Name service
138,TCP / UDP,NetBIOS-DGM,Windows,High,Datagram service
139,TCP,NetBIOS-SSN,Windows,High,Session service
140,TCP,EMFIS-Data-Service,Infrastructure,Low,EMFIS Data Service
141,TCP,EMFIS-Control-Service,Infrastructure,Low,EMFIS Control Service
142,TCP,Britton-Lee-IDM,Infrastructure,Low,Britton-Lee IDM
143,TCP,IMAP,Email,Medium,Mail retrieval
144,TCP,Universal-Management-Architecture,Infrastructure,Low,Universal Management Architecture
145,TCP,UAAC-Protocol,Infrastructure,Low,UAAC Protocol
146,TCP,ISO-IP0,Infrastructure,Low,ISO-IP0
147,TCP,ISO-IP,Infrastructure,Low,ISO-IP
148,TCP,Jargon,Infrastructure,Low,Jargon
149,TCP,AED-512-Emulation-Service,Infrastructure,Low,AED 512 Emulation Service
150,TCP,SQL-NET,Database,High,SQL-NET
151,TCP,HEMS,Infrastructure,Low,HEMS
152,TCP,Background-File-Transfer-Program,FileTransfer,Medium,Background File Transfer Program
153,TCP,SGMP,Infrastructure,Low,SGMP
154,TCP,NETSC,Infrastructure,Low,NETSC
155,TCP,NETSC,Infrastructure,Low,NETSC
156,TCP,SQL-Service,Database,High,SQL Service
157,TCP,KNET-VM-Command-Message-Protocol,Infrastructure,Low,KNET/VM Command/Message Protocol
158,TCP,PCMail-Server,Infrastructure,Low,PCMail Server
159,TCP,NSS-Routing,Infrastructure,Low,NSS-Routing
160,TCP,SGMP-TRAPS,Infrastructure,Low,SGMP-TRAPS
161,TCP / UDP,SNMP,Infrastructure,Medium,Network management
162,TCP / UDP,SNMP-Trap,Infrastructure,Medium,SNMP traps
163,TCP,CMIP-TCP-Manager,Infrastructure,Low,CMIP/TCP Manager
164,TCP,CMIP-TCP-Agent,Infrastructure,Low,CMIP/TCP Agent
165,TCP,Xerox,Infrastructure,Low,Xerox
166,TCP,Sirius-Systems,Infrastructure,Low,Sirius Systems
167,TCP,NAMP,Infrastructure,Low,NAMP
168,TCP,RSVD,Infrastructure,Low,RSVD
169,TCP,SEND,Infrastructure,Low,SEND
170,TCP,Network-PostScript,Infrastructure,Low,Network PostScript
171,TCP,Network-Innovations-Multiplex,Infrastructure,Low,Network Innovations Multiplex
172,TCP,Network-Innovations-CL-1,Infrastructure,Low,Network Innovations CL/1
173,TCP,Xyplex,Infrastructure,Low,Xyplex
174,TCP,MAILQ,Infrastructure,Low,MAILQ
175,TCP,VMNET,Infrastructure,Low,VMNET
176,TCP,GENRAD-MUX,Infrastructure,Low,GENRAD-MUX
177,TCP,X-Display-Manager-Control-Protocol,Infrastructure,Low,X Display Manager Control Protocol
178,TCP,NextStep-Window-Server,Infrastructure,Low,NextStep Window Server
179,TCP,BGP,Infrastructure,High,Routing protocol
180,TCP,Intergraph,Infrastructure,Low,Intergraph
181,TCP,Unify,Infrastructure,Low,Unify
182,TCP,Unisys-Audit-SITP,Infrastructure,Low,Unisys Audit SITP
183,TCP,OCBinder,Infrastructure,Low,OCBinder
184,TCP,OCServer,Infrastructure,Low,OCServer
185,TCP,Remote-KIS,Infrastructure,Low,Remote-KIS
186,TCP,KIS-Protocol,Infrastructure,Low,KIS Protocol
187,TCP,Application-Communication-Interface,Infrastructure,Low,Application Communication Interface
188,TCP,Plus-Fives-MUMPS,Infrastructure,Low,Plus Five's MUMPS
189,TCP,Queued-File-Transport,Infrastructure,Low,Queued File Transport
190,TCP,Gateway-Access-Control-Protocol,Infrastructure,Low,Gateway Access Control Protocol
191,TCP,Prospero-Directory-Service,C2,High,Prospero Directory Service
192,TCP,OSU-Network-Monitoring-System,C2,High,OSU Network Monitoring System
193,TCP,Spider-Remote-Monitoring-Protocol,C2,High,Spider Remote Monitoring Protocol
194,TCP,Internet-Relay-Chat-Protocol,Infrastructure,Low,Internet Relay Chat Protocol
195,TCP,DNSIX-Network-Level-Module-Audit,Infrastructure,Low,DNSIX Network Level Module Audit
196,TCP,DNSIX-Session-Mgt-Module-Audit-Redir,Infrastructure,Low,DNSIX Session Mgt Module Audit Redir
197,TCP,Directory-Location-Service,C2,High,Directory Location Service
198,TCP,Directory-Location-Service-Monitor,C2,High,Directory Location Service Monitor
199,TCP,SMUX,Infrastructure,Low,SMUX
200,TCP,IBM-System-Resource-Controller,Infrastructure,Low,IBM System Resource Controller
201,TCP,AppleTalk-Routing-Maintenance,Infrastructure,Low,AppleTalk Routing Maintenance
202,TCP,AppleTalk-Name-Binding,Infrastructure,Low,AppleTalk Name Binding
203,TCP,AppleTalk-Unused,Infrastructure,Low,AppleTalk Unused
204,TCP,AppleTalk-Echo,Legacy,Low,AppleTalk Echo
205,TCP,AppleTalk-Unused,Infrastructure,Low,AppleTalk Unused
206,TCP,AppleTalk-Zone-Information,Infrastructure,Low,AppleTalk Zone Information
207,TCP,AppleTalk-Unused,Infrastructure,Low,AppleTalk Unused
208,TCP,AppleTalk-Unused,Infrastructure,Low,AppleTalk Unused
209,TCP,The-Quick-Mail-Transfer-Protocol,Infrastructure,Low,The Quick Mail Transfer Protocol
210,TCP,ANSI-Z3950,Infrastructure,Low,ANSI Z39.50
211,TCP,Texas-Instruments-914C-G-Terminal,Infrastructure,Low,Texas Instruments 914C/G Terminal
212,TCP,ATEXSSTR,Infrastructure,Low,ATEXSSTR
213,TCP,IPX,Infrastructure,Low,IPX
214,TCP,VM-PWSCS,Infrastructure,Low,VM PWSCS
215,TCP,Insignia-Solutions,Infrastructure,Low,Insignia Solutions
216,TCP,Computer-Associates-Intl-License-Server,Infrastructure,Low,Computer Associates Int'l License Server
217,TCP,dBASE-Unix,Infrastructure,Low,dBASE Unix
218,TCP,Netix-Message-Posting-Protocol,Infrastructure,Low,Netix Message Posting Protocol
219,TCP,Unisys-ARPs,Infrastructure,Low,Unisys ARPs
220,TCP,Interactive-Mail-Access-Protocol-v3,Infrastructure,Low,Interactive Mail Access Protocol v3
221,TCP,Berkeley-rlogind-with-SPX-auth,Infrastructure,Low,Berkeley rlogind with SPX auth
222,TCP,Berkeley-rshd-with-SPX-auth,Infrastructure,Low,Berkeley rshd with SPX auth
223,TCP,Certificate-Distribution-Center,Infrastructure,Low,Certificate Distribution Center
224,TCP,masqdialer,Infrastructure,Low,masqdialer
242,TCP,Direct,Infrastructure,Low,Direct
243,TCP,Survey-Measurement,Infrastructure,Low,Survey Measurement
244,TCP,inbusiness,Infrastructure,Low,inbusiness
245,TCP,LINK,Infrastructure,Low,LINK
246,TCP,Display-Systems-Protocol,Infrastructure,Low,Display Systems Protocol
247,TCP,SUBNTBCSTTFTP,FileTransfer,High,SUBNTBCST_TFTP
248,TCP,bhfhs,Infrastructure,Low,bhfhs
256,TCP,RAP-Checkpoint-SNMP,Infrastructure,Low,RAP/Checkpoint SNMP
257,TCP,Check-Point-Secure-Electronic-Transaction,Infrastructure,Low,Check Point / Secure Electronic Transaction
258,TCP,Check-Point-Yak-Winsock-Personal-Chat,Infrastructure,Low,Check Point / Yak Winsock Personal Chat
259,TCP,Check-Point-Firewall-1-telnet-auth-Efficient-Short-Remote-Op,RemoteAccess,High,Check Point Firewall-1 telnet auth / Efficient Short Remote Operations
260,TCP,Openport,Infrastructure,Low,Openport
261,TCP,IIOP-Name-Service-over-TLS-SSL,Infrastructure,Low,IIOP Name Service over TLS/SSL
262,TCP,Arcisdms,Infrastructure,Low,Arcisdms
263,TCP,HDAP,Infrastructure,Low,HDAP
264,TCP,BGMP-Check-Point,Infrastructure,Low,BGMP / Check Point
265,TCP,X-Bone-CTL,Infrastructure,Low,X-Bone CTL
266,TCP,SCSI-on-ST,Infrastructure,Low,SCSI on ST
267,TCP,Tobit-David-Service-Layer,Infrastructure,Low,Tobit David Service Layer
268,TCP,Tobit-David-Replica,Infrastructure,Low,Tobit David Replica
280,TCP,HTTP-mgmt,Web,Medium,HTTP-mgmt
281,TCP,Personal-Link,Infrastructure,Low,Personal Link
282,TCP,Cable-Port-A-X,Infrastructure,Low,Cable Port A/X
283,TCP,rescap,Infrastructure,Low,rescap
284,TCP,corerjd,Infrastructure,Low,corerjd
286,TCP,FXP-1,Infrastructure,Low,FXP-1
287,TCP,K-BLOCK,Infrastructure,Low,K-BLOCK
308,TCP,Novastor-Backup,C2,High,Novastor Backup
309,TCP,EntrustTime,Infrastructure,Low,EntrustTime
310,TCP,bhmds,Infrastructure,Low,bhmds
311,TCP,AppleShare-IP-WebAdmin,Web,Medium,AppleShare IP WebAdmin
312,TCP,VSLMP,Infrastructure,Low,VSLMP
313,TCP,Magenta-Logic,Infrastructure,Low,Magenta Logic
314,TCP,Opalis-Robot,Infrastructure,Low,Opalis Robot
315,TCP,DPSI,Infrastructure,Low,DPSI
316,TCP,decAuth,Infrastructure,Low,decAuth
317,TCP,Zannet,Infrastructure,Low,Zannet
318,TCP,PKIX-TimeStamp,Infrastructure,Low,PKIX TimeStamp
319,TCP,PTP-Event,Infrastructure,Low,PTP Event
320,TCP,PTP-General,Infrastructure,Low,PTP General
321,TCP,PIP,Infrastructure,Low,PIP
322,TCP,RTSPS,Infrastructure,Low,RTSPS
333,TCP,Texar-Security-Port,Infrastructure,Low,Texar Security Port
344,TCP,Prospero-Data-Access-Protocol,Infrastructure,Low,Prospero Data Access Protocol
345,TCP,Perf-Analysis-Workbench,Infrastructure,Low,Perf Analysis Workbench
346,TCP,Zebra-server,Infrastructure,Low,Zebra server
347,TCP,Fatmen-Server,Infrastructure,Low,Fatmen Server
348,TCP,Cabletron-Management-Protocol,Infrastructure,Low,Cabletron Management Protocol
349,TCP,mftp,FileTransfer,Medium,mftp
350,TCP,MATIP-Type-A,Infrastructure,Low,MATIP Type A
351,TCP,bhoetty,Infrastructure,Low,bhoetty (added 5/21/97)
352,TCP,bhoedap4,Infrastructure,Low,bhoedap4 (added 5/21/97)
353,TCP,NDSAUTH,Infrastructure,Low,NDSAUTH
354,TCP,bh611,Infrastructure,Low,bh611
355,TCP,DATEX-ASN,Infrastructure,Low,DATEX-ASN
356,TCP,Cloanto-Net-1,Infrastructure,Low,Cloanto Net 1
357,TCP,bhevent,Infrastructure,Low,bhevent
358,TCP,Shrinkwrap,Infrastructure,Low,Shrinkwrap
359,TCP,Tenebris-Network-Trace-Service,Infrastructure,Low,Tenebris Network Trace Service
360,TCP,scoi2odialog,Infrastructure,Low,scoi2odialog
361,TCP,Semantix,Infrastructure,Low,Semantix
362,TCP,SRS-Send,Infrastructure,Low,SRS Send
363,TCP,RSVP-Tunnel,Infrastructure,Low,RSVP Tunnel
364,TCP,Aurora-CMGR,Infrastructure,Low,Aurora CMGR
365,TCP,DTK,Infrastructure,Low,DTK
366,TCP,ODMR,Infrastructure,Low,ODMR
367,TCP,MortgageWare,Infrastructure,Low,MortgageWare
368,TCP,QbikGDP,Infrastructure,Low,QbikGDP
369,TCP,rpc2portmap,Windows,High,rpc2portmap
370,TCP,codaauth2,Infrastructure,Low,codaauth2
371,TCP,Clearcase,Infrastructure,Low,Clearcase
372,TCP,ListProcessor,Infrastructure,Low,ListProcessor
373,TCP,Legent-Corporation,Infrastructure,Low,Legent Corporation
374,TCP,Legent-Corporation,Infrastructure,Low,Legent Corporation
375,TCP,Hassle,Infrastructure,Low,Hassle
376,TCP,Amiga-Envoy-Network-Inquiry-Proto,Infrastructure,Low,Amiga Envoy Network Inquiry Proto
377,TCP,NEC-Corporation,Infrastructure,Low,NEC Corporation
378,TCP,NEC-Corporation,Infrastructure,Low,NEC Corporation
379,TCP,TIA-EIA-IS-99-modem-client,Infrastructure,Low,TIA/EIA/IS-99 modem client
380,TCP,TIA-EIA-IS-99-modem-server,Infrastructure,Low,TIA/EIA/IS-99 modem server
381,TCP,hp-performance-data-collector,C2,High,hp performance data collector
382,TCP,hp-performance-data-managed-node,Infrastructure,Low,hp performance data managed node
383,TCP,hp-performance-data-alarm-manager,Infrastructure,Low,hp performance data alarm manager
384,TCP,A-Remote-Network-Server-System,Infrastructure,Low,A Remote Network Server System
385,TCP,IBM-Application,Infrastructure,Low,IBM Application
386,TCP,ASA-Message-Router-Object-Def,Infrastructure,Low,ASA Message Router Object Def.
387,TCP,Appletalk-Update-Based-Routing-Pro,Infrastructure,Low,Appletalk Update-Based Routing Pro.
388,TCP,Unidata-LDM,Infrastructure,Low,Unidata LDM
389,TCP / UDP,LDAP,Auth,Medium,Directory service
390,TCP,UIS,Infrastructure,Low,UIS
391,TCP,SynOptics-SNMP-Relay-Port,Infrastructure,Low,SynOptics SNMP Relay Port
392,TCP,SynOptics-Port-Broker-Port,Infrastructure,Low,SynOptics Port Broker Port
393,TCP,Data-Interpretation-System,Infrastructure,Low,Data Interpretation System
394,TCP,EMBL-Nucleic-Data-Transfer,Infrastructure,Low,EMBL Nucleic Data Transfer
395,TCP,NETscout-Control-Protocol,Infrastructure,Low,NETscout Control Protocol
396,TCP,Novell-Netware-over-IP,Infrastructure,Low,Novell Netware over IP
397,TCP,Multi-Protocol-Trans-Net,Infrastructure,Low,Multi Protocol Trans. Net.
398,TCP,Kryptolan,Infrastructure,Low,Kryptolan
399,TCP,ISO-Transport-Class-2-Non-Control-over-TCP,Infrastructure,Low,ISO Transport Class 2 Non-Control over TCP
400,TCP,Workstation-Solutions,Infrastructure,Low,Workstation Solutions
401,TCP,Uninterruptible-Power-Supply,Infrastructure,Low,Uninterruptible Power Supply
402,TCP,Genie-Protocol,Infrastructure,Low,Genie Protocol
403,TCP,decap,Infrastructure,Low,decap
404,TCP,nced,Infrastructure,Low,nced
405,TCP,ncld,Infrastructure,Low,ncld
406,TCP,Interactive-Mail-Support-Protocol,Infrastructure,Low,Interactive Mail Support Protocol
407,TCP,Timbuktu,Infrastructure,Low,Timbuktu
408,TCP,Prospero-Resource-Manager-Sys-Man,Infrastructure,Low,Prospero Resource Manager Sys. Man.
409,TCP,Prospero-Resource-Manager-Node-Man,Infrastructure,Low,Prospero Resource Manager Node Man.
410,TCP,DECLadebug-Remote-Debug-Protocol,Infrastructure,Low,DECLadebug Remote Debug Protocol
411,TCP,Remote-MT-Protocol,Infrastructure,Low,Remote MT Protocol
412,TCP,NeoModus-Direct-Connect-Trap-Convention-Port,Infrastructure,Low,NeoModus Direct Connect (Windows file sharing program) / Trap Convention Port
413,TCP,SMSP,Legacy,Low,SMSP
414,TCP,InfoSeek,Infrastructure,Low,InfoSeek
415,TCP,BNet,Infrastructure,Low,BNet
416,TCP,Silverplatter,Infrastructure,Low,Silverplatter
417,TCP,Onmux,Infrastructure,Low,Onmux
418,TCP,Hyper-G,Infrastructure,Low,Hyper-G
419,TCP,Ariel,Infrastructure,Low,Ariel
420,TCP,SMPTE,Infrastructure,Low,SMPTE
421,TCP,Ariel,Infrastructure,Low,Ariel
422,TCP,Ariel,Infrastructure,Low,Ariel
423,TCP,IBM-Operations-Planning-and-Control-Start,Infrastructure,Low,IBM Operations Planning and Control Start
424,TCP,IBM-Operations-Planning-and-Control-Track,Infrastructure,Low,IBM Operations Planning and Control Track
425,TCP,ICAD,Infrastructure,Low,ICAD
426,TCP,smartsdp,Infrastructure,Low,smartsdp
427,TCP,Server-Location,Infrastructure,Low,Server Location
428,TCP,OCSCMU,Infrastructure,Low,OCS_CMU
429,TCP,OCSAMU,Infrastructure,Low,OCS_AMU
430,TCP,UTMPSD,Infrastructure,Low,UTMPSD
431,TCP,UTMPCD,Infrastructure,Low,UTMPCD
432,TCP,IASD,Infrastructure,Low,IASD
433,TCP,NNSP,Infrastructure,Low,NNSP
434,TCP,MobileIP-Agent,Infrastructure,Low,MobileIP-Agent
435,TCP,MobilIP-MN,Infrastructure,Low,MobilIP-MN
436,TCP,DNA-CML,Infrastructure,Low,DNA-CML
437,TCP,comscm,Infrastructure,Low,comscm
438,TCP,dsfgw,Infrastructure,Low,dsfgw
439,TCP,dasp,Infrastructure,Low,dasp
440,TCP,sgcp,Infrastructure,Low,sgcp
441,TCP,decvms-sysmgt,Infrastructure,Low,decvms-sysmgt
442,TCP,cvchostd,Infrastructure,Low,cvc_hostd
443,TCP,HTTPS,Web,Low,Secure web traffic
444,TCP,Simple-Network-Paging-Protocol,Infrastructure,Low,Simple Network Paging Protocol
445,TCP,SMB,Windows,Critical,File sharing and lateral movement
446,TCP,DDM-RDB,Infrastructure,Low,DDM-RDB
447,TCP,DDM-RFM,Infrastructure,Low,DDM-RFM
448,TCP,DDM-SSL,Infrastructure,Low,DDM-SSL
449,TCP,AS-Server-Mapper,Infrastructure,Low,AS Server Mapper
450,TCP,TServer,Infrastructure,Low,TServer
451,TCP,Cray-Network-Semaphore-server,Infrastructure,Low,Cray Network Semaphore server
452,TCP,Cray-SFS-config-server,Infrastructure,Low,Cray SFS config server
453,TCP,CreativeServer,Infrastructure,Low,CreativeServer
454,TCP,ContentServer,Infrastructure,Low,ContentServer
455,TCP,CreativePartnr,Infrastructure,Low,CreativePartnr
456,TCP,macon-tcp,Infrastructure,Low,macon-tcp
457,TCP,scohelp,Infrastructure,Low,scohelp
458,TCP,apple-quick-time,Infrastructure,Low,apple quick time
459,TCP,ampr-rcmd,Infrastructure,Low,ampr-rcmd
460,TCP,skronk,Infrastructure,Low,skronk
461,TCP,DataRampSrv,Infrastructure,Low,DataRampSrv
462,TCP,DataRampSrvSec,Infrastructure,Low,DataRampSrvSec
463,TCP,alpes,Infrastructure,Low,alpes
464,TCP / UDP,Kerberos-Change,Auth,Low,Password change
465,TCP,SMTPS,Email,Low,Secure SMTP
466,TCP,digital-vrc,Development,Medium,digital-vrc
467,TCP,mylex-mapd,Infrastructure,Low,mylex-mapd
468,TCP,proturis,Infrastructure,Low,proturis
469,TCP,Radio-Control-Protocol,Infrastructure,Low,Radio Control Protocol
470,TCP,scx-proxy,Web,Medium,scx-proxy
471,TCP,Mondex,Infrastructure,Low,Mondex
472,TCP,ljk-login,Infrastructure,Low,ljk-login
473,TCP,hybrid-pop,Infrastructure,Low,hybrid-pop
474,TCP,tn-tl-w1,Infrastructure,Low,tn-tl-w1
475,TCP,tcpnethaspsrv,Infrastructure,Low,tcpnethaspsrv
476,TCP,tn-tl-fd1,Infrastructure,Low,tn-tl-fd1
